PID,start,end,PF
A6GHN7_9DELT,60,313,PF00487
Q82SS4_NITEU,60,304,PF00487
A4BSL5_9GAMM,59,306,PF00487
Q63YY2_BURPS,59,318,PF00487
Q6N921_RHOPA,54,303,PF00487
Q2IYE1_RHOP2,33,276,PF00487
Q1CZS6_MYXXD,61,296,PF00487
Q10XU1_TRIEI,53,308,PF00487
A6C2T5_9PLAN,43,291,PF00487
P71846_MYCTU,66,302,PF00487
Q0F918_9RHOB,32,277,PF00487
Q1LF75_CUPMC,77,322,PF00487
A4BIC7_9GAMM,29,269,PF00487
A3XCF8_9RHOB,45,265,PF00487
Q607W4_METCA,89,302,PF00487
A1B3U6_PARDP,103,337,PF00487
O05895_MYCTU,137,373,PF00487
A3VA90_9RHOB,94,321,PF00487
A3SKE9_ROSNI,90,318,PF00487
Q23T88_TETTS,108,338,PF00487
Q23T87_TETTS,98,328,PF00487
Q11ZW1_POLSJ,40,281,PF00487
Q89M00_BRADU,74,319,PF00487
A8LGP4_FRASN,69,307,PF00487
A6CG61_9PLAN,70,298,PF00487
Q1DBR8_MYXXD,63,287,PF00487
Q6LJB6_PHOPR,37,271,PF00487
Q125U0_POLSJ,20,258,PF00487
A6G4M6_9DELT,90,345,PF00487
Q4K721_PSEF5,39,276,PF00487
A3WI02_9SPHN,45,262,PF00487
Q097M6_STIAD,66,297,PF00487
A3LQP8_PICST,87,334,PF00487
Q31EM7_HYDCU,39,296,PF00487
A0Z2G0_9GAMM,39,293,PF00487
Q2Y8X3_NITMU,40,298,PF00487
Q7N9Z2_PHOLL,38,299,PF00487
Q87WM9_PSESM,38,293,PF00487
Q08XY7_STIAD,39,266,PF00487
A6G419_9DELT,41,272,PF00487
Q00XX1_OSTTA,73,312,PF00487
Q236U7_TETTS,123,361,PF00487
Q24HT6_TETTS,111,353,PF00487
Q5YXN9_NOCFA,57,292,PF00487
A3IPN7_9CYAN,29,258,PF00487
Q4K9L2_PSEF5,68,336,PF00487
A0A0F2S316_9RHOB,60,318,PF00487
S2J0R1_MUCC1,159,440,PF00487
A0JV19_ARTS2,67,328,PF00487
A0A2K3DBB8_CHLRE,164,446,PF00487
A4CPH1_ROBBH,65,342,PF00487
A5FB10_FLAJ1,82,359,PF00487
A0DWF1_PARTE,155,400,PF00487
Q7PMH4_ANOGA,154,407,PF00487
A1T5K7_MYCVP,89,358,PF00487
Q73UM3_MYCPA,68,341,PF00487
Q81ZA5_BACAN,53,304,PF00487
A1U2S5_MARHV,65,319,PF00487
A6GE09_9DELT,48,306,PF00487
D1AV45_STRM9,10,406,PF03611
C7N9S5_LEPBD,10,406,PF03611
I2B748_SHIBC,12,408,PF03611
F4H9C6_GALAU,10,406,PF03611
W0HTD7_9GAMM,12,408,PF03611
Q2G145_STAA8,10,406,PF03611
D9R2K0_CLOSW,9,405,PF03611
Q65NB4_BACLD,11,407,PF03611
F4PFZ4_BATDJ,7,404,PF03611
C9AAB4_ENTCA,10,406,PF03611
F2I6H0_AERUA,10,406,PF03611
A4VSS0_STRSY,8,404,PF03611
Q8E203_STRA5,10,406,PF03611
Q82ZT3_ENTFA,10,407,PF03611
F9UUK2_LACPL,10,407,PF03611
F9VCS0_LACGL,10,410,PF03611
F9USP6_LACPL,10,405,PF03611
X5DTS0_9CORY,10,409,PF03611
E3DA81_GARV3,26,425,PF03611
B2TRA9_CLOBB,10,406,PF03611
F9VJL9_ARTSS,10,415,PF03611
R6UAP9_9FIRM,7,428,PF03611
D4MUW9_ANAHA,6,417,PF03611
F2N7H2_CORGP,9,425,PF03611
E1QXS5_OLSUV,9,444,PF03611
C8W918_ATOPD,9,441,PF03611
Q4A9C9_MYCHJ,13,455,PF03611
Q98R12_MYCPU,29,468,PF03611
M9WGT2_9MOLU,13,440,PF03611
Q5E197_VIBF1,10,405,PF03611
I0JRB6_HALH3,8,404,PF03611
D3FQ09_BACPE,8,404,PF03611
N0B5A2_9BACI,8,404,PF03611
A8FDW1_BACP2,8,403,PF03611
A6T9A5_KLEP7,8,404,PF03611
D4MUT5_ANAHA,10,407,PF03611
F2N9Y5_CORGP,10,410,PF03611
E1QXT8_OLSUV,10,416,PF03611
D8MWV8_ERWBE,10,405,PF03611
Q5WC73_BACSK,10,405,PF03611
A6LYR3_CLOB8,7,402,PF03611
E3E5N8_PAEPS,6,401,PF03611
X2H1C1_9GAMM,6,401,PF03611
E0SCJ6_DICD3,6,409,PF03611
D1APJ7_SEBTE,10,406,PF03611
R5TVL3_9CLOT,7,408,PF03611
F2NAT8_CORGP,10,418,PF03611
Q8ZQJ4_SALTY,17,421,PF03611
D1AJW0_SEBTE,14,417,PF03611
U6B5L4_9RHIZ,14,413,PF03611
Q7MBY3_VIBVY,14,417,PF03611
Q9CMQ1_PASMU,43,446,PF03611
A3N2Z8_ACTP2,6,418,PF03611
Q4A581_MYCS5,72,527,PF03611
Q4A723_MYCS5,54,509,PF03611
A5IZ79_MYCAP,57,530,PF03611
C4XFK0_MYCFP,55,499,PF03611
Q98PX5_MYCPU,59,531,PF03611
L0RUG0_MYCC1,63,518,PF03611
K7X326_MYCHR,65,526,PF03611
W5V0C9_9MOLU,56,522,PF03611
Q4A9W1_MYCHJ,54,526,PF03611
C5J6C9_MYCCR,56,528,PF03611
D4MW79_ANAHA,14,426,PF03611
B2TQJ4_CLOBB,14,425,PF03611
F9VKW2_ARTSS,14,426,PF03611
Q034C1_LACP3,18,443,PF03611
F5WSP7_ERYRF,15,431,PF03611
Q3XYI1_ENTFC,15,436,PF03611
R6KF55_9CLOT,14,433,PF03611
C8W9G9_ATOPD,14,435,PF03611
D1AJV2_SEBTE,14,426,PF03611
F4LQZ1_TEPAE,10,417,PF03611
W0L757_9GAMM,14,419,PF03611
D1ALJ9_SEBTE,19,424,PF03611
Q9KG89_BACHD,11,416,PF03611
Q8Y426_LISMO,10,416,PF03611
Q8XN15_CLOPE,10,406,PF03611
Q8EL18_OCEIH,10,409,PF03611
G4L7G0_TETHN,6,401,PF03611
I3VS04_THESW,6,401,PF03611
Q67M03_SYMTH,10,405,PF03611
D6XZQ4_BACIE,10,405,PF03611
B8CZR1_HALOH,10,405,PF03611
B0S3L6_FINM2,9,404,PF03611
J7TT99_MORMO,10,404,PF03611
A6LX10_CLOB8,9,404,PF03611
R5ZGB9_9ACTN,13,413,PF03611
I0GLE0_CALEA,10,405,PF03611
B5Y8T8_COPPD,10,405,PF03611
I3WFG2_BIFBI,1,408,PF03611
W5Y4U4_9CORY,14,427,PF03611
X5DN04_9CORY,14,429,PF03611
Q9S1Z0_STRCO,14,427,PF03611
V4IBZ1_9ACTN,14,427,PF03611
B2GIS7_KOCRD,14,425,PF03611
Q6AAL8_CUTAK,14,425,PF03611
D3F4C4_CONWI,147,324,PF14518
A8KYK6_FRASN,152,329,PF14518
F8B4V4_FRADG,167,344,PF14518
E3J8C7_FRAIE,220,397,PF14518
B0RFZ4_CLAMS,175,352,PF14518
B2GIT4_KOCRD,149,326,PF14518
M1NP71_9CORY,154,331,PF14518
F4H0X5_CELFA,143,320,PF14518
E1W0J6_GLUAR,85,262,PF14518
D1BEH3_SANKS,162,339,PF14518
D5UHV6_CELFN,156,333,PF14518
F8A4W1_CELGA,122,299,PF14518
A0K0Z3_ARTS2,149,326,PF14518
C0ZT04_RHOE4,142,319,PF14518
F1TJ66_RHOHA,160,337,PF14518
C7NJW1_KYTSD,94,269,PF14518
H6MWP6_GORPV,148,325,PF14518
A0QTA7_MYCS2,140,317,PF14518
V5X8R3_MYCNE,140,317,PF14518
H6R3S1_NOCCG,131,308,PF14518
W5TKC6_9NOCA,170,347,PF14518
A4FHB6_SACEN,138,315,PF14518
H5X2G3_9PSEU,146,323,PF14518
C6WJM4_ACTMD,141,318,PF14518
K0K6Y5_SACES,135,312,PF14518
G0FT54_AMYMS,135,312,PF14518
R4T432_AMYOR,134,311,PF14518
F6EGC2_HOYSD,154,331,PF14518
V9XHY3_9NOCA,137,314,PF14518
F2RM00_STRVP,141,318,PF14518
G2NK01_STREK,131,308,PF14518
F2RHP5_STRVP,139,316,PF14518
V4KAN0_9ACTN,139,316,PF14518
A6WDD3_KINRD,133,310,PF14518
D7B3V3_NOCDD,130,307,PF14518
F4CUB4_PSEUX,136,313,PF14518
C7PZY8_CATAD,132,309,PF14518
F2RE64_STRVP,107,278,PF14518
G8WNK3_STREN,100,274,PF14518
W0LAG3_9GAMM,165,342,PF14518
E0UKP1_CYAP2,177,355,PF14518
Q1QZK5_CHRSD,173,351,PF14518
Q1AT10_RUBXD,39,216,PF14518
X4ZFW9_9BACL,49,223,PF14518
Q0K012_CUPNH,43,219,PF14518
V9XJ63_9NOCA,43,219,PF14518
S0EZE9_CHTCT,47,220,PF14518
Q117R9_TRIEI,46,219,PF14518
Q1IVL7_KORVE,39,212,PF14518
K8GSV7_9CYAN,36,213,PF14518
Q2Y5P8_NITMU,40,222,PF14518
Q82UP8_NITEU,39,221,PF14518
Q2JBG9_FRACC,42,222,PF14518
H8MI25_CORCM,32,192,PF14518
A1STH8_PSYIN,547,720,PF14518
A2SJ82_METPP,38,208,PF14518
S6BEH0_9GAMM,38,207,PF14518
Q1QZU6_CHRSD,38,207,PF14518
A6W200_MARMS,38,207,PF14518
B9TJD9_RICCO,38,212,PF14518
K0C563_CYCSP,38,207,PF14518
Q5R011_IDILO,38,207,PF14518
A1TXC8_MARHV,541,710,PF14518
B2HRU3_MYCMM,39,208,PF14518
C5AMR2_BURGB,43,211,PF14518
Q9PBU4_XYLFA,56,224,PF14518
D0LTF0_HALO1,144,327,PF14518
K9QA04_9NOSO,143,313,PF14518
H8MUX3_CORCM,114,287,PF14518
B4RG72_PHEZH,115,288,PF14518
D4YZZ9_SPHJU,109,282,PF14518
W0AIH4_9SPHN,89,262,PF14518
D7C9E2_STRBB,124,298,PF14518
G2PF88_STRVO,161,336,PF14518
V6KHH9_STRRC,76,255,PF14518
Q21EY7_SACD2,168,349,PF14518
I3TWX2_TISMK,161,339,PF14518
Q5ZZE6_LEGPH,114,292,PF14518
Q09E92_STIAD,160,338,PF14518
A6T9B3_KLEP7,163,340,PF14518
B4EGJ8_BURCJ,171,349,PF14518
C5ALH7_BURGB,176,354,PF14518
A1WSB0_VEREI,157,337,PF14518
E2S7U9_9ACTN,128,305,PF14518
A1SNS6_NOCSJ,124,301,PF14518
R7XXR6_9ACTN,98,275,PF14518
D2SAW0_GEOOG,134,311,PF14518
D2AXS3_STRRD,134,311,PF14518
G8SHX0_ACTS5,123,300,PF14518
U5W6S9_9ACTN,123,300,PF14518
D9TA86_MICAI,144,321,PF14518
A6P1W9_9FIRM,34,254,PF08843
A6LIS3_PARD8,36,258,PF08843
Q5KV23_GEOKA,37,258,PF08843
B4SEI7_PELPB,39,257,PF08843
A8ZZS0_DESOH,39,259,PF08843
Q1M7T1_RHIL3,81,300,PF08843
Q0F353_9PROT,38,260,PF08843
A6DSE9_9BACT,33,256,PF08843
Q5GY13_XANOR,41,262,PF08843
A1W4H8_ACISJ,35,256,PF08843
A1VW15_POLNA,35,256,PF08843
A3Z4Q5_9SYNE,35,255,PF08843
A0LJY5_SYNFM,39,260,PF08843
Q6MDV8_PARUW,32,251,PF08843
Q6M9M4_PARUW,38,258,PF08843
A4AL11_9ACTN,32,263,PF08843
Q3Y113_ENTFC,32,252,PF08843
A6NXL8_9FIRM,29,249,PF08843
Q6MU66_MYCMS,32,253,PF08843
Q2IEN8_ANADE,40,269,PF08843
Q0RZM2_RHOJR,41,272,PF08843
Q3L9Z1_RHOE4,41,273,PF08843
A4TG06_MYCGI,45,278,PF08843
A4XFS5_CALS8,11,198,PF08843
Q7WXF2_CUPNH,19,210,PF08843
Q120Y5_POLSJ,21,211,PF08843
Q21T10_RHOFT,21,211,PF08843
A1WFU2_VEREI,21,211,PF08843
A4Z034_BRASO,13,212,PF08843
Q4BV89_CROWT,13,234,PF08843
Q2KB15_RHIEC,41,246,PF08843
A2SDV7_METPP,12,231,PF08843
A1VJ73_POLNA,12,232,PF08843
Q5QWW7_IDILO,14,223,PF08843
Q1LN31_CUPMC,10,279,PF08843
A1VVH0_POLNA,10,280,PF08843
Q58AR5_CUPMC,10,285,PF08843
A4JU43_BURVG,10,285,PF08843
Q8P655_XANCP,10,280,PF08843
E0TGY4_PARBH,11,280,PF08843
Q8PKJ2_XANAC,17,288,PF08843
Q7ND98_GLOVI,12,283,PF08843
A6F2Q0_9ALTE,14,284,PF08843
Q11AE5_CHESB,12,283,PF08843
A3UHI0_9RHOB,12,283,PF08843
A6X803_OCHA4,12,281,PF08843
A0YF78_9GAMM,10,274,PF08843
Q3ARB4_CHLCH,11,282,PF08843
A0M137_GRAFK,30,253,PF08843
Q3SW13_NITWN,30,253,PF08843
A1BFK9_CHLPD,30,252,PF08843
B9M297_GEODF,30,250,PF08843
Q07LJ4_RHOP5,30,260,PF08843
A1BFT1_CHLPD,31,275,PF08843
Q0YUP4_9CHLB,31,275,PF08843
A6VTK2_MARMS,28,267,PF08843
A6LDX6_PARD8,32,268,PF08843
Q74DE8_GEOSL,31,281,PF08843
Q1NX65_9DELT,31,281,PF08843
O54654_HALSA,29,256,PF08843
Q3B1Q4_CHLL7,29,234,PF08843
A8ZVR5_DESOH,29,286,PF08843
A6GZS9_FLAPJ,29,275,PF08843
Q1Q4B8_KUEST,29,269,PF08843
Q82TQ8_NITEU,35,265,PF08843
A0RWG6_CENSY,28,254,PF08843
A0RWG1_CENSY,28,244,PF08843
Q6L332_PICTO,28,244,PF08843
Q7MW16_PORGI,42,316,PF08843
A6DS96_9BACT,37,309,PF08843
A1TXM9_MARHV,49,331,PF08843
A6THM9_KLEP7,48,339,PF08843
Q0BSX7_GRABC,42,325,PF08843
Q82T38_NITEU,42,327,PF08843
Q7D419_AGRFC,45,352,PF08843
Q47DL1_DECAR,45,335,PF08843
B0T9L0_CAUSK,43,328,PF08843
Q6MDY6_PARUW,41,327,PF08843
A0LER7_SYNFM,41,321,PF08843
Q212U2_RHOPB,41,335,PF08843
A3ZP42_9PLAN,42,324,PF08843
Q3A7V2_PELCD,41,315,PF08843
A2SRV5_METLZ,41,321,PF08843
Q6M0G2_METMP,1,114,PF02635
Q221T8_RHOFT,2,117,PF02635
Q0AB08_ALKEH,1,118,PF02635
A3QJQ8_SHELP,2,117,PF02635
Q32GY5_SHIDS,2,117,PF02635
Q47F14_DECAR,2,117,PF02635
A6UVL9_META3,3,120,PF02635
Q2RLC4_MOOTA,2,116,PF02635
Q4K9W3_PSEF5,3,120,PF02635
A1U0T5_MARHV,1,115,PF02635
Q1QW82_CHRSD,10,126,PF02635
Q482F0_COLP3,5,121,PF02635
Q12N85_SHEDO,2,118,PF02635
A1S6H9_SHEAM,2,118,PF02635
Q15T19_PSEA6,2,118,PF02635
A1T061_PSYIN,4,120,PF02635
TUSC_CITK8,2,119,PF02635
TUSC_SODGM,2,119,PF02635
Q1LSY9_BAUCH,2,119,PF02635
Q056Z7_BUCCC,2,119,PF02635
TUSC_BUCBP,2,119,PF02635
TUSC_VIBCH,3,118,PF02635
TUSC_PASMU,1,119,PF02635
M9WUG3_MANHA,5,123,PF02635
TUSC_HAEIN,1,119,PF02635
A6VMD1_ACTSZ,2,120,PF02635
TUSC_VIBPA,4,118,PF02635
B7VLG4_VIBTL,4,118,PF02635
A0KQA0_AERHH,2,118,PF02635
Q6LVC5_PHOPR,2,118,PF02635
TUSC_VIBF1,2,118,PF02635
Q3B6V0_CHLL7,6,122,PF02635
A0L8C1_MAGMM,6,133,PF02635
Q2W1V1_MAGSA,10,126,PF02635
DSRF_ALLVD,6,136,PF02635
A1AXC6_RUTMC,4,132,PF02635
Q2SJ26_HAHCH,7,123,PF02635
O27410_METTH,4,119,PF02635
A6UVM0_META3,2,116,PF02635
Q482E9_COLP3,2,122,PF02635
TUSD_VIBPA,6,131,PF02635
A0KQA1_AERHH,5,130,PF02635
TUSD_PHOLL,4,131,PF02635
TUSD_BUCAI,1,128,PF02635
TUSD_BUCBP,1,130,PF02635
Q056Z6_BUCCC,1,130,PF02635
TUSD_HAEDU,1,125,PF02635
TUSD_HAEIN,1,126,PF02635
A1U0T4_MARHV,5,132,PF02635
Q0VQ01_ALCBS,1,123,PF02635
Q1QW81_CHRSD,1,128,PF02635
Q2SJ25_HAHCH,1,128,PF02635
V6F6H7_9PROT,1,117,PF02635
A0L8C0_MAGMM,1,116,PF02635
A1BCS5_CHLPD,1,117,PF02635
Q609A4_METCA,1,121,PF02635
A6W0C4_MARMS,1,129,PF02635
Q15T20_PSEA6,2,129,PF02635
A3QEI3_SHELP,2,129,PF02635
Q5V6A8_HALMA,2,123,PF02635
Q9X076_THEMA,1,115,PF02635
Q60BW1_METCA,1,119,PF02635
O27468_METTH,151,269,PF02635
A6UUB5_META3,154,272,PF02635
Q8TYE3_METKA,101,218,PF02635
O30051_ARCFU,2,119,PF02635
Q5KY75_GEOKA,1,129,PF02635
Q8ZUX0_PYRAE,3,114,PF02635
Q96ZF6_SULTO,8,126,PF02635
B4U9E9_HYDS0,7,133,PF02635
Q9HV13_PSEAE,9,125,PF02635
A2SEH9_METPP,6,122,PF02635
Q3AR97_CHLCH,3,120,PF02635
A0LIU0_SYNFM,2,120,PF02635
A0LPB2_SYNFM,2,116,PF02635
A1A366_BIFAA,44,246,PF07751
B0T905_CAUSK,37,220,PF07751
W0F1W1_9BACT,32,216,PF07751
Q5ZWL6_LEGPH,70,255,PF07751
I4B0B2_TURPD,33,216,PF07751
D5SV51_PLAL2,32,226,PF07751
W0P925_9BURK,34,218,PF07751
Q0C4S3_HYPNA,32,222,PF07751
F6IBZ1_9SPHN,31,221,PF07751
F4GQT1_PUSST,38,220,PF07751
G4SX21_META2,35,216,PF07751
K9Z8L1_CYAAP,33,216,PF07751
A1WW68_HALHL,35,218,PF07751
Q3ARQ2_CHLCH,33,223,PF07751
U5N7V0_9BURK,34,220,PF07751
I5B3Z2_9DELT,45,231,PF07751
I5B140_9DELT,45,231,PF07751
D4YZN3_SPHJU,35,219,PF07751
Q2GBG8_NOVAD,35,220,PF07751
A5VH44_SPHWW,35,220,PF07751
F2JWB9_MARM1,34,247,PF07751
Q3JA70_NITOC,33,240,PF07751
B0UV92_HISS2,33,242,PF07751
Q9CKR6_PASMU,33,229,PF07751
W5WSZ3_9CORY,37,250,PF07751
W5Y496_9CORY,45,242,PF07751
Q6NFX6_CORDI,45,247,PF07751
D2NQQ9_ROTMD,33,222,PF07751
D6ZJI9_MOBCV,38,232,PF07751
C4LH30_CORK4,25,220,PF07751
Q6A7C7_CUTAK,32,226,PF07751
C7JII8_ACEP3,40,239,PF07751
I3TQM4_TISMK,33,236,PF07751
I4F4L0_9ACTN,43,245,PF07751
Q8FSJ2_COREF,2,195,PF07751
E8NAK1_MICTS,32,236,PF07751
B0REE3_CLAMS,32,239,PF07751
E1VZY8_GLUAR,33,240,PF07751
W5XQ68_9CORY,65,261,PF07751
D9QD14_CORP2,32,233,PF07751
E3GZZ5_ROTDC,33,239,PF07751
F7YQ41_VIBA7,34,255,PF07751
Q5NZN8_AROAE,35,246,PF07751
M9X4F2_MANHA,31,223,PF07751
Q9CK51_PASMU,32,228,PF07751
Q8PDL6_XANCP,47,238,PF07751
F0RJY8_DEIPM,35,216,PF07751
B1VFP5_CORU7,43,239,PF07751
Q3JF52_NITOC,34,249,PF07751
K4IH37_PSYTT,65,258,PF07751
Q11NV9_CYTH3,35,228,PF07751
G0IV37_CYCMS,35,228,PF07751
F9YPF7_CAPCC,36,224,PF07751
X5DUE8_9BACT,31,215,PF07751
K4IUA2_PSYTT,31,222,PF07751
F2IGI4_FLUTR,32,217,PF07751
K4IJC2_PSYTT,31,216,PF07751
R5RQK5_9BACE,29,219,PF07751
R7HPU9_9BACT,30,220,PF07751
R5CYG3_9BACT,30,220,PF07751
R7D0I4_9BACE,29,215,PF07751
R5CWU7_9BACT,36,217,PF07751
R6FNZ8_9BACE,38,220,PF07751
X5DEF9_9BACT,36,218,PF07751
D5ERT2_PRER2,43,226,PF07751
R5PM52_9BACT,11,194,PF07751
R6CG63_9BACE,46,230,PF07751
R7D058_9BACE,18,202,PF07751
R5P4L2_9BACT,32,217,PF07751
L0G6K2_ECHVK,32,219,PF07751
A6GVR6_FLAPJ,31,218,PF07751
G0J0N2_CYCMS,31,218,PF07751
G8UKA0_TANFA,33,226,PF07751
R7HPV7_9BACT,12,205,PF07751
R6VR79_9BACT,33,227,PF07751
B1XQS1_SYNP2,32,218,PF07751
D3IEF7_9BACT,32,233,PF07751
F9ZCE6_ODOSD,42,229,PF07751
F0R348_BACSH,45,230,PF07751
R5GAI3_9PORP,46,231,PF07751
R6VRD4_9BACT,48,233,PF07751
R5CN80_9BACT,11,196,PF07751
F9Z608_ODOSD,36,220,PF07751
R5P3W1_9BACT,71,256,PF07751
Q5ZTP6_LEGPH,45,239,PF07751
A6W2M1_MARMS,35,236,PF07751
V5WK63_9SPIO,11,199,PF07751
E6WYW3_NITSE,35,217,PF07751
A1A224_BIFAA,49,239,PF07751
D7WBR6_9CORY,32,227,PF07751
D1BEQ3_SANKS,29,215,PF07751
W5XZM3_9CORY,30,227,PF07751
E6K1Y4_PARDN,35,231,PF07751
X4R080_9ACTO,31,218,PF07751
R6M8I9_9CLOT,31,239,PF07751
E0S0C0_BUTPB,31,239,PF07751
R6PH39_9CLOT,31,239,PF07751
Q8REC4_FUSNN,33,221,PF07751
Q832Y3_ENTFA,29,223,PF07751
Q8E0W2_STRA5,29,224,PF07751
C7NDT3_LEPBD,32,218,PF07751
D1AVC3_STRM9,39,227,PF07751
C4Z653_EUBE2,41,236,PF07751
R5TMP3_9FIRM,32,227,PF07751
D6DIR6_CLOSC,32,227,PF07751
I6TBU4_ENTHA,35,239,PF07751
F5WSA7_ERYRF,50,237,PF07751
G4Q8Q6_ACIIR,33,225,PF07751
D1AYV8_STRM9,36,237,PF07751
R5R763_9FIRM,32,231,PF07751
B9EBJ8_MACCJ,31,217,PF07751
R6RJ09_9FIRM,34,231,PF07751
C4Z7Z9_AGARV,33,231,PF07751
F5YHN3_TREPZ,33,223,PF07751
R6GYH9_9FIRM,34,227,PF07751
R6LRG2_9FIRM,32,220,PF07751
D4LWL1_9FIRM,33,220,PF07751
R7JVK5_9CLOT,30,218,PF07751
G2T3Y8_ROSHA,32,220,PF07751
R5LUC0_9FIRM,20,208,PF07751
R7C9W3_9CLOT,35,223,PF07751
C4ZBM5_AGARV,31,219,PF07751
R6CQI7_9CLOT,31,220,PF07751
I0GRK0_SELRL,33,230,PF07751
I6SVQ4_ENTHA,31,235,PF07751
R7MGC8_9CLOT,31,219,PF07751
R6B982_9CLOT,31,218,PF07751
R7HGM3_9MOLU,30,218,PF07751
R7P6T2_9CLOT,31,215,PF07751
R7NEF6_9MOLU,30,215,PF07751
R5MCR2_9MOLU,33,221,PF07751
R6GU84_9FIRM,31,219,PF07751
R7KBV6_9CLOT,31,219,PF07751
R5TNI5_9CLOT,32,219,PF07751
R7F383_9BACI,34,222,PF07751
R5M4G5_9MOLU,31,219,PF07751
R6SQ88_9CLOT,31,219,PF07751
R5Z398_9MOLU,31,219,PF07751
R5N802_9FIRM,31,218,PF07751
R5HH00_9MOLU,31,219,PF07751
R5IS39_9CLOT,34,222,PF07751
R6ZFD3_9CLOT,31,219,PF07751
R5JBL8_9FIRM,31,219,PF07751
R6CVX4_9CLOT,31,219,PF07751
R6M6U4_9CLOT,30,218,PF07751
R7M4J2_9CLOT,30,218,PF07751
R5SUD3_9CLOT,30,218,PF07751
R6XYZ8_9FIRM,26,214,PF07751
R7N6Y3_9FIRM,34,257,PF07751
Q252D2_DESHY,55,278,PF07751
R5CQ28_9FIRM,34,225,PF07751
R7HVT4_9CLOT,33,217,PF07751
R6SMD4_9CLOT,31,216,PF07751
R7P756_9CLOT,30,225,PF07751
R5HAH2_9FIRM,35,226,PF07751
D6DFS2_CLOSC,33,226,PF07751
R7GKT9_9FIRM,33,227,PF07751
D3R0M8_MAGIU,33,213,PF07751
I5AQ20_EUBCE,32,214,PF07751
R6TDK1_9FIRM,34,216,PF07751
R6NBX2_9FIRM,31,209,PF07751
R5UML1_9FIRM,49,230,PF07751
Q8DWK3_STRMU,32,214,PF07751
R6BDY9_9CLOT,32,208,PF07751
R5GRT5_9FIRM,31,212,PF07751
D4JW32_9FIRM,32,213,PF07751
